ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
719;TARTUFO NERO       ;79;76,3;31;130;6;0;6;0,5;0;0,5;0,11;0;0;0,05;0,22;0;0,27;0;0,7;0;0,7;8,5;0;3,5;24;55;368;62;3,8;0,05;0,09;2;1;0,18;44;0;0;0;0,12;0;1;346;2007;TARTUFO NERO [TUBER MELANOSPORUM]
720;TE' DETEINATO, in foglie     ;100;9,3;108;452;19,6;0;19,6;2;0;2;0,44;0;0,22;0,22;0,67;0;0,89;0;3;0;3;0;0;15,2;430;45;2160;630;3;0,14;1,2;7,5;0;0,25;3;0;0;0;0;0;1;700460;18001;TE' DETEINATO, in foglie
721;TE' DETEINATO, in tazza     ;100;99,5;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;2;0;0;0,02;0;0;0;3;0;0;0;0;0;1;9029;18001;TE' DETEINATO, in tazza
722;TE' in foglie      ;100;9,3;108;452;19,6;0;19,6;2;0;2;0,44;0;0,22;0,22;0,67;0;0,89;0;3;0;3;44,7;0;15,2;430;45;2160;630;3;0,14;1,2;7,5;0;0,25;3;0;0;0;0;0;1;3017;18001;TE', in foglie
723;TE' in tazza      ;100;99,5;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;2;0;0;0,02;0;0;0;3;0;0;0;0;0;1;700459;18001;TE', in tazza
724;TEMPEH        ;100;61;166;695;20,7;0;20,7;6,4;0;6,4;0,92;1,39;1,41;3,18;0,43;0;3,61;0;6,4;4,6;0,9;4,1;0;3,6;120;6;370;200;1,8;0,19;0,48;3,2;0;1,86;76;5;0;30;0;0;1;8038;3004;TEMPEH
725;TIMO   fresco     ;100;69,3;95;397;3;0;3;2,5;0;2,5;0,69;0,12;0,12;0,13;0,67;0;0,79;0;15,1;0;15,1;12,3;0;41,2;630;18;270;67;2,1;0,16;0,22;1,6;0;0,31;40;127;0;760;1,7;0;1;8017;24001;TIMO [THYMUS VULGARIS], fresco
726;TIMO secco macinato      ;100;7,8;276;1155;9,1;0;9,1;7,4;0;7,4;2,73;0,47;0,47;0,5;0,69;0;1,19;0;45,3;0;45,3;18,6;0;123,6;1890;55;810;200;6,2;0,51;0,4;4,9;0;0,38;0;380;0;2280;9,15;0;1;8018;24001;TIMO, secco macinato
727;TINCA        ;55;78,5;76;318;17,9;17,9;0;0,5;0,5;0;0,1;0,1;0,21;0,05;0,02;0,06;0,13;29;0;0;0;0;0;1;31;80;245;218;0,5;0,06;0,15;2,9;0;0,19;15;18;18;0;0,63;10,6;1;1324;11001;TINCA [TINCA TINCA]
728;TIRAMISU'        ;100;38,8;411;1720;13,2;7,5;5,7;25,8;19,6;6,2;14,32;7,8;8,71;0,99;0,23;0,06;1,27;197;33,5;12,4;21,1;7,5;0;4,6;55;303;460;288;2,4;0,07;0,23;0,6;0;0,07;27;151;133;106;1,02;0,6;1;9047;15003;TIRAMISU'
729;TISANA IN TAZZA      ;100;99,7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0,1;2;0;9;0;0;0,01;0;0;0;0;1;0;0;0;0;0;1;9034;18004;TISANA IN TAZZA
730;TOFU        ;100;84,6;76;318;8,1;0;8,1;4,8;0;4,8;0,07;1,04;1,06;2,38;0,32;0;2,7;0;0,7;0;0;1,2;0;5,4;105;7;121;97;0,8;0,08;0,05;1,2;0;0,05;15;9;0;54;0,01;0;1;888002;3004;TOFU
731;TONNO        ;90;61,5;158;661;21,5;21,5;0;8;8;0;2,09;1,39;2,09;0,17;0;2,78;2,96;27;0;0;0;0;0;1,3;38;43;520;264;0,5;0,2;0,12;8,5;0;0,49;20;450;450;0;0,55;16,3;1;1325;11001;TONNO [THUNNUS THYNNUS]
732;TONNO IN SALAMOIA, SGOCCIOLATO     ;100;73,4;103;431;25,1;25,1;0;0,3;0,3;0;0,1;0,05;0,05;0;0;0,05;0,05;63;0;0;0;0;0;1;8;320;230;170;0,7;0,06;0,09;10;0;0,47;4;65;65;0;0,28;2;1;1515;11004;TONNO IN SALAMOIA, SGOCCIOLATO
733;TONNO SOTT'OLIO, SGOCCIOLATO      ;100;54,6;258;1079;22,8;22,8;0;18,5;15;3,5;3,13;6,83;6,83;6,09;0,15;0,13;6,38;65;0;0;0;0;0;1,9;8;361;343;234;0,3;0,05;0,12;11,9;0;0,44;15;16;16;0;5,55;4,88;1;1514;11003;TONNO SOTT'OLIO, SGOCCIOLATO
734;TORDO  ;58;68;143;598;20,1;20,1;0;7,7;7,7;0;2,33;2,46;2,82;1,54;0,18;0,14;1,86;86;0;0;0;0;0;7,2;13;168;132;200;1,2;0,1;0,1;4,6;0;0,35;28;0;0;0;0;0,4;1;100052;10050;TORDO [TURDUS ERYCETORUM]
735;TORRONE CON MANDORLE      ;100;6,9;479;2004;10,8;0,9;9,9;26,8;0;26,8;2,23;18,93;19,11;5,11;0,14;0;5,26;0;52;0;52;1,9;0;3,5;80;19;466;265;1,8;0,16;0,25;1,2;0;0,08;26;0;0;0;12,38;0;1;2020;14000;TORRONE CON MANDORLE
736;TORTA AL CIOCCOLATO      ;100;28;315;1318;4,9;2,7;2,2;17,5;5,9;11,6;6,97;6,15;6,87;2,44;0,19;0,01;2,64;58;36,8;9,2;27,6;3,6;0;2;29;103;199;125;0,9;0,14;0,21;1,1;0;0,04;10;40;38;15;1,59;0,23;1;100230;15006;TORTA AL CIOCCOLATO
737;TORTA MARGHERITA       ;100;19,4;368;1540;8,9;6,9;2;10,4;10,3;0,1;5,12;2,95;3,33;0,54;0,12;0,03;0,68;168;63,6;29,5;34,1;1;0;2,8;9;350;82;121;0,7;0;0,12;0,5;0;0,06;10;0;0;0;2,61;2,8;1;2019;15006;TORTA MARGHERITA
738;TORTELLINI freschi       ;100;28,2;310;1297;12,2;9;3,2;7,1;6,9;0,3;3,19;2,28;2,53;0,65;0,08;0,03;0,75;177;52,6;50,3;2,3;1,3;0;1,6;146;264;190;236;2,3;0,21;0,15;1,8;0;0,22;25;104;96;49;0,56;0,7;1;53;8007;TORTELLINI, freschi
739;TORTELLINI secchi       ;100;12,3;389;1628;15,7;11,6;4,1;10,8;10,4;0,4;4,84;3,48;3,84;0,98;0,11;0,05;1,14;271;61;58,3;2,7;2;0;2,5;224;405;291;362;3,6;0,32;0,22;2,8;0;0,34;38;160;147;75;0,86;1,08;1;54;8007;TORTELLINI, secchi
740;TRIGLIA        ;60;75,3;123;515;15,8;15,8;0;6,2;6,2;0;1,62;0,75;1,43;0,36;0;1,52;1,88;94;1,1;0;1,1;0;0;1,1;21;91;340;218;0,3;0,07;0,07;4,2;0;0,42;11;9;9;0;0,83;1,31;1;1326;11001;TRIGLIA [MULLUS SURMULETUS]
741;TROTA        ;55;80,5;86;360;14,7;14,7;0;3;3;0;0,7;0,52;0,77;0,37;0,1;0,7;1,17;55;0;0;0;0;0;1;14;40;465;220;0,9;0,08;0,06;3;0;0,2;13;0;0;0;0,2;10,6;1;1327;11001;TROTA [SALMO TRUTTA]
742;UOVO DI ANATRA      ;88;70,9;190;795;12,2;12,2;0;15,4;15,4;0;4,12;6,8;7,3;0,62;0,11;0,63;1,37;887;0,7;0;0,7;0;0;2,8;57;122;129;195;1,4;0,15;0,3;0,1;0;0,25;80;360;341;113;0,83;6,52;1;1803;12001;UOVO DI ANATRA
743;UOVO DI GALLINA, ALBUME     ;100;87,6;47;197;10,9;10,9;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0,8;0;0;0,1;9;190;150;15;0,1;0,02;0,27;0,1;0;0,02;13;0;0;0;0;0;1;1801;12001;UOVO DI GALLINA, ALBUME
744;UOVO DI GALLINA, INTERO     ;89;73,9;156;653;13;13;0;11,1;11,1;0;3,31;4,05;4,48;1,2;0,05;0,08;1,33;504;1;0;1;0;0;2,5;50;140;140;210;1,4;0,11;0,31;0,1;0;0,12;50;225;211;84;1,11;1,75;1;1800;12001;UOVO DI GALLINA, INTERO
745;UOVO DI GALLINA, INTERO, IN POLVERE   ;100;4,1;574;2402;47;47;0;41,2;41,2;0;12,96;14,67;16,11;3,8;0;0,69;4,48;1900;4,1;0;4,1;0;0;8,7;187;520;480;800;5;0,33;1,2;0,2;0;0,46;190;850;806;264;4,28;6,75;1;1806;12001;UOVO DI GALLINA, INTERO, IN POLVERE
746;UOVO DI GALLINA, TUORLO     ;100;49,2;355;1485;16,3;16,3;0;31,9;31,9;0;9,85;11,54;12,76;3,42;0,15;0,23;3,8;1480;0,7;0;0,7;0;0;6,1;147;50;120;586;3,6;0,27;0,35;0,1;0;0,3;130;640;607;198;3,11;4,94;1;1802;12001;UOVO DI GALLINA, TUORLO
747;UOVO DI OCA      ;87;69,7;189;791;13,8;13,8;0;14,4;14,4;0;3,6;5,35;5,74;0,68;0,55;0,28;1,51;852;1;0;1;0;0;2,6;52;138;210;200;1,3;0,1;0,3;0,1;0;0,24;76;330;318;71;0,74;5;1;1804;12001;UOVO DI OCA
748;UOVO DI TACCHINA      ;87;72,6;147;615;12,8;12,8;0;10,2;10,2;0;3,64;3,9;4,57;1,17;0,08;0,13;1,38;801;1;0;1;0;0;2,5;50;151;142;200;1,6;0,15;0,3;0,1;0;0,13;71;225;211;84;1,11;1,75;1;1805;12001;UOVO DI TACCHINA
749;UVA ;94;80,3;61;255;0,5;0;0,5;0,1;0;0,1;0,03;0;0;0,02;0,01;0;0,03;0;15,6;0;15,6;1,5;0;0,4;27;1;192;4;0,1;0,03;0,03;0,1;6;0,1;2;4;0;24;0;0;1;428;4001;UVA [VITIS VINIFERA]
750;UVA SULTANINA/UVETTA, UVA SECCA     ;100;17,1;283;1184;1,9;0;1,9;0,6;0;0,6;0,2;0,02;0,02;0,14;0,04;0;0,18;0;72;0;72;6,8;0;3,3;78;52;864;29;0,1;0,12;0,08;0,3;0;0,25;27;3;0;18;1,05;0;1;514;4003;UVA SULTANINA/UVETTA, UVA SECCA
751;VALERIANA        ;100;92,8;21;88;2;0;2;0,4;0;0,4;0,05;0,01;0,01;0,06;0,15;0;0,21;0;3,6;0;3,6;1,5;0;2,2;38;4;459;53;0,6;0,07;0,09;0,4;38;0,27;14;709;0;4254;0,6;0;1;19072;2008;VALERIANA [VALERIANELLA OLITORIA]
752;VANIGLIA estratto alcolico      ;100;52,6;288;1205;0,1;0;0,1;0,1;0;0,1;0,01;0,01;0,01;0;0;0;0;0;12,7;0;12,7;0;34,4;0,1;11;9;148;6;0,1;0,01;0,1;0,4;0;0,03;0;0;0;0;0;0;1;777015;24001;VANIGLIA, estratto alcolico
753;VENTAGLIO O PETTINE      ;32;78,6;88;368;16,8;16,8;0;0,8;0,8;0;0,08;0,02;0,04;0;0;0,26;0,26;33;2,4;0;0;0;0;0,3;24;161;322;219;1;0,01;0,07;1,2;3;0,15;16;15;15;0;1;0;1;602044;11002;VENTAGLIO O PETTINE [PECTEN JACOBEAUS]
754;VERDURA E LEGUMI, SURGELATI     ;100;82,1;64;268;3,3;0;3,3;0,5;0;0,5;0,1;0,03;0,03;0,17;0,06;0;0,24;0;9,5;5,9;3,5;4;0;1;25;47;212;59;0,5;0,12;0,09;1,3;10;0,1;29;508;0;3048;0,3;0;1;19073;3000;VERDURA E LEGUMI, SURGELATI
755;VERMOUTH DOLCE       ;100;70,6;151;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,9;0;15,9;0;13;0,4;6;28;30;6;0;0;0;0;0;0;0;0;0;0;0;0;1;4007;17002;VERMOUTH DOLCE
756;VERMOUTH SECCO       ;100;82,1;109;456;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;13,9;0,3;7;11;34;6;0;0;0;0;0;0,01;0;0;0;0;0;0;1;4008;17002;VERMOUTH SECCO
757;VINO BIANCO       ;100;89,7;71;297;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;10,1;1;9;11;81;74;0;0,01;0,05;0;0;0,01;0;0;0;0;0;0;1;4009;17001;VINO BIANCO
758;VINO ROSATO       ;100;87,3;71;297;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;2,5;0;2,5;0;8,7;1;12;4;75;6;0;0;0,01;0,1;0;0,02;0;0;0;0;0;0;1;999905;17001;VINO ROSATO
759;VINO ROSSO       ;100;89;76;318;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0,2;0;10,7;0,9;7;7;110;13;0,1;0;0,02;0,1;0;0,03;1;0;0;0;0;0;1;4010;17001;VINO ROSSO
760;VITELLO   CARNE MAGRA    ;100;76,9;92;385;20,7;20,7;0;1;1;0;0,36;0,35;0,4;0,1;0;0,04;0,14;70;0,1;0;0,1;0;0;2,3;14;89;360;214;2,4;0,15;0,26;6,3;0;0,65;23;0;0;0;0,26;1,3;1;1006;10030;VITELLO [BOS TAURUS], CARNE MAGRA
761;VITELLO CARNE SEMIGRASSA      ;100;70,1;144;602;20,3;20,3;0;7;7;0;2,52;2,42;2,8;0,69;0;0,29;0,98;62;0;0;0;0;0;0,8;9;83;260;170;3;0,06;0,14;5,9;0;0,49;14;0;0;0;0,17;1,2;1;8020;10030;VITELLO, CARNE SEMIGRASSA
762;VITELLO CORATELLA       ;100;78;103;431;17,1;17,1;0;3,2;3,2;0;1,71;0,97;1,16;0,14;0,04;0,2;0,39;236;1,6;0;1,6;0;0;15,5;11;115;352;244;2,3;0,34;1,21;7;31;0,29;113;4163;4089;440;0,51;0,81;1;1202;10041;VITELLO, CORATELLA
763;VITELLONE   CARNE SEMIGRASSA    ;100;69,6;160;669;19,1;19,1;0;9,3;9,3;0;3,94;3,84;4,55;0,18;0,12;0,09;0,39;70;0;0;0;0;0;2,1;10;51;330;172;3,6;0,1;0,12;4,2;0;0,54;16;0;0;0;0,15;0,5;1;1004;10010;VITELLONE [BOS TAURUS], CARNE SEMIGRASSA
764;VITELLONE CARNE GRASSA      ;100;66,3;204;854;18,1;18,1;0;14,6;14,6;0;6,18;6,03;7,15;0,28;0,19;0,14;0,62;71;0;0;0;0;0;2;10;51;330;168;3,9;0,07;0,11;4,7;0;0,37;14;0;0;0;0,17;0,5;1;1005;10010;VITELLONE, CARNE GRASSA
765;VITELLONE CARNE MAGRA      ;100;71,5;113;473;21,3;21,3;0;3,1;3,1;0;1,31;1,28;1,52;0,06;0,04;0,03;0,13;70;0;0;0;0;0;2,3;11;89;360;175;5,7;0,1;0,17;4,3;0;0,45;5;0;0;0;0,2;0,8;1;1003;10010;VITELLONE, CARNE MAGRA
766;VITELLONE tagli di carne grassa    ;100;70,4;155;649;20,2;20,2;0;8,3;8,3;0;3,51;3,43;4,06;0,16;0,11;0,08;0,35;62;0;0;0;0;0;1,7;6;55;315;180;3,8;0,07;0,27;3,9;0;0,42;53;0;0;0;0,09;0,5;1;8521;10010;VITELLONE, tagli di carne grassa
767;VITELLONE tagli di carne magra    ;100;74,9;108;452;21,3;21,3;0;2,8;2,8;0;1,19;1,16;1,37;0,05;0,04;0,03;0,12;50;0;0;0;0;0;1,8;4;51;340;220;2,8;0,09;0,19;5,3;0;0,55;24;0;0;0;0,15;0,5;1;8520;10010;VITELLONE, tagli di carne magra
768;VITELLONE tagli di carne semigrassa    ;100;71,4;140;586;21,5;21,5;0;6,1;6,1;0;2,58;2,52;2,99;0,12;0,08;0,06;0,26;54;0;0;0;0;0;1,8;4;51;340;190;3,8;0,09;0,24;4,9;0;0,51;14;0;0;0;0,14;0,5;1;8522;10010;VITELLONE, tagli di carne semigrassa
769;VODKA        ;100;63,3;222;929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,7;0;0;1;1;5;0;0,01;0,01;0;0;0;0;0;0;0;0;0;1;700639;17004;VODKA
770;VONGOLA        ;25;82,5;72;301;10,2;10,2;0;2,5;2,5;0;0,24;0,09;0,21;0,04;0,1;0,58;0,73;50;2,2;0;0;0;0;14;46;56;314;169;1,4;0,08;0,21;1,8;13;0,06;16;16;16;0;1;0;1;1328;11002;VONGOLA [AMIGDALA DECUSSATA]
771;VONGOLE IN SCATOLA, AL NATURALE    ;100;63,6;148;619;25,6;25,6;0;2;2;0;0,19;0,07;0,17;0,03;0,01;0,51;0,55;67;5,1;0;0;0;0;28;92;112;628;338;2,7;0,15;0,43;3,4;22;0,11;29;171;171;0;1;0;1;700832;11002;VONGOLE IN SCATOLA, AL NATURALE
772;WAKAME   secca     ;100;12,2;71;297;12,4;0;12,4;2,4;0;2,4;0,49;0,08;0,22;0,04;0,01;0,77;0,82;0;0;0;0;47,1;0;11,6;660;3220;220;310;1,7;0,11;0,14;4,6;15;0,01;196;86;0;515;1;0;1;8025;2011;WAKAME [UNDARIA spp], secca
773;WHISKY        ;100;65,9;238;996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;34;0;0;0;0;5;0,1;0,01;0;0,1;0;0;0;0;0;0;0;0;1;4011;17004;WHISKY
774;WURSTEL        ;100;58,9;270;1130;13,7;13,7;0;23,3;23,3;0;6,94;9,83;10,81;3,57;0,27;0,59;4,43;62;1,4;0;1,4;0;0;1,5;33;1916;338;130;3,9;0,15;0,3;2,7;0;0,03;1;0;0;0;0,25;0;1;1151;10003;WURSTEL
775;WURSTEL DI POLLO      ;100;57,5;257;1075;12,9;12,9;0;19,5;19,5;0;5,54;7,14;8,48;3,74;0,15;0,15;4,04;101;6,8;0;6,8;0;0;2;95;1370;84;107;1;0,07;0,12;3,1;0;0,32;4;38;38;0;0,22;0,1;1;888004;10003;WURSTEL DI POLLO
776;WURSTEL DI TACCHINO      ;100;70;226;946;14,3;14,3;0;17,7;17,7;0;5,89;5,3;5,58;4,64;0,36;0;5;107;1,5;0;1,5;0;0;1,8;106;1426;179;134;3,1;0,04;0,18;4,1;0;0,23;8;0;0;0;0,62;0,2;1;701376;10003;WURSTEL DI TACCHINO
777;YOGURT DI LATTE INTERO     ;100;87;63;264;3,5;3,5;0;3,9;3,9;0;2,07;0,83;0,84;0,08;0,05;0;0,13;18;3,6;0;3,6;0;0;0,1;111;48;150;87;0,5;0,03;0,16;0,1;1;0,1;18;28;26;13;0,05;0,04;1;1630;6002;YOGURT DI LATTE INTERO
778;YOGURT DI LATTE INTERO AI CEREALI E MALTO ;100;78,6;95;397;3,5;3,2;0,3;3,6;3,5;0,1;1,87;0,76;0,77;0,09;0,05;0;0,14;16;12,9;3,9;9;0,2;0;0,3;104;44;140;81;0,5;0,08;0,22;0,9;1;0,18;29;25;23;12;0,07;0,04;1;19074;6002;YOGURT DI LATTE INTERO AI CEREALI E MALTO
779;YOGURT DI LATTE INTERO ALLA FRUTTA   ;100;81;88;368;2,8;2,8;0;3,3;3,3;0;1,75;0,7;0,71;0,07;0,04;0;0,11;7;12,6;0;12,6;0,2;0;0,1;111;48;150;87;0,5;0,03;0,16;0,1;1;0,07;10;33;30;15;0,05;0,04;1;1633;6002;YOGURT DI LATTE INTERO ALLA FRUTTA
780;YOGURT DI LATTE MAGRO ALLA FRUTTA   ;100;77;90;377;4,1;4,1;0;0,7;0,7;0;0,39;0,14;0,16;0,02;0;0;0,02;4;17,9;0;17,9;0,2;0;0,1;150;64;210;120;0,5;0,05;0,21;0,1;1;0,08;16;11;10;4;0,01;0,01;1;8027;6002;YOGURT DI LATTE MAGRO ALLA FRUTTA
781;YOGURT DI LATTE PARZIALMENTE SCREMATO    ;100;89;43;180;3,4;3,4;0;1,7;1,7;0;0,95;0,35;0,38;0,04;0,01;0;0,05;8;3,8;0;3,8;0;0;0,1;120;45;149;94;0,6;0,04;0,18;0,1;1;0,09;17;11;10;5;0,01;0,01;1;1631;6002;YOGURT DI LATTE PARZIALMENTE SCREMATO
782;YOGURT DI LATTE SCREMATO     ;100;89;36;151;3,3;3,3;0;0,9;0,9;0;0,5;0,19;0,2;0,02;0,01;0;0,03;4;4;0;4;0;0;0,1;94;58;185;74;0,6;0,03;0,14;0;1;0,09;17;13;12;6;0,01;0,01;1;1632;6002;YOGURT DI LATTE SCREMATO
783;ZAFFERANO        ;100;11,9;310;1297;11,4;0;11,4;5,9;0;5,9;1,59;0,39;0,43;0,75;1,24;0,07;2,07;0;61,5;19,1;42,4;3,9;0;11,1;110;150;1720;250;1,1;0,12;0,27;1,5;0;1,3;0;53;0;318;1,69;0;1;8019;24001;ZAFFERANO [CROCUS SATIVUS]
784;ZAMPONE        ;100;45,5;360;1506;19,1;19,1;0;31,6;31,6;0;10,35;14,08;15,51;3,55;0,22;0,43;4,2;95;0;0;0;0;0;2,1;20;1375;186;170;4,3;0,26;0,21;3;0;0,14;8;0;0;0;1,17;0,9;1;1153;10003;ZAMPONE
785;ZUCCA GIALLA       ;81;94,6;18;75;1,1;0;1,1;0,1;0;0,1;0,05;0,01;0,01;0;0;0;0,01;0;3,5;1;2,5;0,5;0;0,9;20;1;202;40;0,2;0,03;0,02;0,5;9;0,02;10;599;0;3594;1,06;0;1;347;2009;ZUCCA GIALLA [CUCURBITA MAXIMA]
786;ZUCCHERO (Saccarosio)       ;100;0,5;392;1640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104,5;0;104,5;0;0;0,3;1;1;2;0;0,1;0;0;0;0;0;0;0;0;0;0;0;1;2021;14003;ZUCCHERO (Saccarosio)
787;ZUCCHERO DI CANNA, GREZZO     ;100;0;362;1515;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;101,3;0;101,3;0;0;1,7;56;31;140;4;0,1;0;0;0;0;0;0;0;0;0;0;0;1;805958;14003;ZUCCHERO DI CANNA, GREZZO
788;ZUCCHINE ;88;93,6;11;46;1,3;0;1,3;0,1;0;0,1;0,02;0,01;0,01;0,02;0,03;0;0,04;0;1,4;0,1;1,3;1,3;0;0,5;21;1;210;65;0,2;0,08;0,12;0,7;11;0,15;52;6;0;36;1,06;0;1;349;2009;ZUCCHINE [CUCURBITA PEPO]
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
