ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
597;RHUM        ;100;63,3;222;929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,7;0,1;0;1;2;5;0,1;0,01;0;0;0;0;0;0;0;0;0;0;1;712023;17004;RHUM
598;RIBES NERO       ;98;77,4;28;117;0,9;0;0,9;0;0;0;0;0;0;0;0;0;0;0;6,6;0;6,6;7,8;0;1,3;60;3;370;43;0,3;0,03;0,06;0,3;200;0,08;16;17;0;100;1;0;1;500025;4001;RIBES NERO [RIBES NIGRUM]
599;RIBES ROSSO       ;97;82,8;21;88;1,1;0;1,1;0;0;0;0;0;0;0;0;0;0;0;4,4;0;4,4;7,4;0;1,2;36;2;280;30;0,2;0,04;0,06;0,1;40;0,05;11;4;0;25;0,1;0;1;500023;4001;RIBES ROSSO [RIBES RUBRUM]
600;RICOTTA DI PECORA      ;100;63;271;1134;8,4;8,4;0;25,1;25,1;0;17,51;4,69;5,45;0,38;0,31;0;0,69;51;3,2;0;3,2;0;0;0,6;84;256;37;196;0,2;0,03;0,18;0,2;1;0,08;5;12;10;9;0,11;0,18;1;1723;7001;RICOTTA DI PECORA
601;RICOTTA DI VACCA      ;100;73;136;569;12,2;12,2;0;8;8;0;4,96;2,19;2,59;0,16;0,12;0;0,28;32;4;0;4;0;0;0,5;394;100;110;170;1,3;0,02;0,19;0,1;0;0,03;6;200;185;92;0,03;0,03;1;11793;7001;RICOTTA DI VACCA
602;RICOTTA DI VACCA E PECORA    ;100;68;204;854;10,3;10,3;0;16,6;16,6;0;11,24;3,44;4,02;0,27;0,22;0;0,49;42;3,6;0;3,6;0;0;0,6;239;178;74;183;0,8;0,03;0,19;0,2;1;0,06;6;106;98;51;0,07;0,11;1;900689;7001;RICOTTA DI VACCA E PECORA
603;RICOTTA INTERA, TIPO TEDESCO     ;100;78;109;456;12,5;12,5;0;5,1;5,1;0;3,17;1,4;1,65;0,11;0,08;0;0,18;32;3,6;0;3,6;0;0;0,4;85;35;87;165;0,5;0,04;0,27;0,1;1;0,03;6;44;40;24;0,03;0,03;1;100028;7001;RICOTTA INTERA, TIPO TEDESCO
604;RICOTTA MAGRA TIPO TEDESCO     ;100;81;72;301;13,5;13,5;0;0,2;0,2;0;0,12;0,05;0,06;0;0;0;0,01;32;4,1;0;4,1;0;0;0,4;92;40;95;160;0,6;0,04;0,3;0,2;1;0,03;6;2;2;1;0,03;0,03;1;100029;7001;RICOTTA MAGRA TIPO TEDESCO
605;RISO   BRILLATO     ;100;12,9;362;1515;7;0;7;0,6;0;0,6;0,14;0,15;0,15;0,21;0,01;0;0,22;0;87,6;87,4;0,2;1,4;0;0,6;6;6;110;120;1,3;0,06;0,03;1,3;0;0,3;20;0;0;0;0,06;0;1;5;8001;RISO [ORYZA SATIVA], BRILLATO
606;RISO SBRAMATO (INTEGRALE)      ;100;13,9;357;1494;6,7;0;6,7;2,8;0;2,8;0,56;1;1,01;0,96;0,04;0;1;0;81,3;80;1,3;3,8;0;1,4;10;3;250;310;1,8;0,59;0,07;5,3;0;0,51;49;0;0;0;0,8;0;1;500010;8001;RISO, SBRAMATO (INTEGRALE)
